epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,4529.61,0.6528,0.32919,0.99426,0.9917,0.9907,0.99447,0.79215,0.8812,0.31893,1.17331,0.000594286,0.000594286,0.000594286
67,4597.77,0.64589,0.32744,0.99224,0.99007,0.9938,0.99373,0.7985,0.86109,0.31937,1.17187,0.000577782,0.000577782,0.000577782
68,4666.17,0.65301,0.32412,0.99586,0.99565,0.98232,0.99128,0.79027,0.86625,0.32599,1.15352,0.000561279,0.000561279,0.000561279
69,4734.58,0.63645,0.32738,0.98543,0.98968,0.98532,0.99187,0.79247,0.83371,0.32724,1.1482,0.000544776,0.000544776,0.000544776
70,4803.02,0.62424,0.31963,0.97989,0.98437,0.97931,0.99277,0.79156,0.86907,0.33139,1.17328,0.000528272,0.000528272,0.000528272
71,4871.09,0.64418,0.32963,0.99041,0.99446,0.9868,0.99311,0.79366,0.85288,0.32543,1.15625,0.000511769,0.000511769,0.000511769
72,4940.09,0.63713,0.32614,0.98699,0.99126,0.98378,0.99297,0.79604,0.85822,0.33084,1.16524,0.000495266,0.000495266,0.000495266
73,5009.13,0.64284,0.32045,0.9935,0.99183,0.97461,0.99201,0.80427,0.8408,0.32208,1.14569,0.000478762,0.000478762,0.000478762
74,5077.93,0.63916,0.31852,0.99384,0.98555,0.9843,0.99374,0.79429,0.86549,0.31717,1.16899,0.000462259,0.000462259,0.000462259
75,5146,0.61526,0.31046,0.97739,0.99529,0.98472,0.9939,0.79657,0.8717,0.32404,1.17447,0.000445756,0.000445756,0.000445756
76,5214.53,0.62263,0.31646,0.98387,0.99242,0.97915,0.9913,0.79268,0.87357,0.3281,1.1713,0.000429253,0.000429253,0.000429253
77,5283.33,0.61717,0.31433,0.97857,0.99453,0.98401,0.99286,0.79641,0.87135,0.32576,1.17062,0.000412749,0.000412749,0.000412749
78,5352.44,0.6099,0.30672,0.97289,0.99277,0.97969,0.99081,0.79397,0.86152,0.3222,1.16927,0.000396246,0.000396246,0.000396246
79,5420.99,0.61903,0.3104,0.98207,0.9878,0.98269,0.99297,0.7942,0.85998,0.31152,1.17085,0.000379743,0.000379743,0.000379743
80,5489.24,0.61003,0.3046,0.97015,0.99102,0.98094,0.99301,0.79884,0.85625,0.31721,1.16406,0.000363239,0.000363239,0.000363239
81,5557.27,0.60492,0.30335,0.97683,0.99285,0.97825,0.99278,0.79221,0.86592,0.31574,1.17624,0.000346736,0.000346736,0.000346736
82,5625.49,0.60362,0.30889,0.97203,0.99339,0.984,0.99222,0.79611,0.84934,0.3026,1.1582,0.000330233,0.000330233,0.000330233
83,5694.19,0.60268,0.30656,0.97213,0.99488,0.98262,0.99366,0.79539,0.8583,0.31112,1.16366,0.000313729,0.000313729,0.000313729
84,5763.18,0.60091,0.30065,0.97478,0.99161,0.98485,0.99449,0.7955,0.85533,0.3072,1.16527,0.000297226,0.000297226,0.000297226
85,5831.81,0.60263,0.30226,0.97173,0.99437,0.98876,0.99461,0.79692,0.872,0.31464,1.18245,0.000280723,0.000280723,0.000280723
86,5900.59,0.58681,0.29163,0.96659,0.99579,0.9868,0.99455,0.79816,0.87396,0.321,1.18197,0.00026422,0.00026422,0.00026422
87,5968.84,0.60006,0.29871,0.97274,0.99646,0.98889,0.99481,0.79936,0.87638,0.30381,1.18301,0.000247716,0.000247716,0.000247716
88,6038.41,0.58403,0.29262,0.96551,0.99767,0.98889,0.99408,0.79772,0.87249,0.30515,1.18082,0.000231213,0.000231213,0.000231213
89,6107.25,0.58096,0.28744,0.96149,0.99556,0.9904,0.99427,0.79417,0.87637,0.31073,1.18949,0.00021471,0.00021471,0.00021471
90,6176.24,0.58662,0.29541,0.97324,0.99786,0.98917,0.99424,0.79693,0.86194,0.30099,1.17394,0.000198206,0.000198206,0.000198206
91,6246.24,0.50268,0.22528,0.9256,0.99633,0.99271,0.99494,0.79303,0.87145,0.30639,1.1841,0.000181703,0.000181703,0.000181703
92,6313.9,0.49161,0.21737,0.91854,0.99776,0.99098,0.99483,0.79952,0.86891,0.31311,1.19187,0.0001652,0.0001652,0.0001652
93,6381.8,0.48488,0.21395,0.91974,0.99609,0.98752,0.99444,0.79767,0.86033,0.30266,1.18215,0.000148696,0.000148696,0.000148696
94,6449.29,0.4773,0.2117,0.91197,0.99719,0.9868,0.99429,0.79559,0.8727,0.31307,1.19037,0.000132193,0.000132193,0.000132193
95,6517.41,0.47322,0.2105,0.9043,0.99784,0.98654,0.99416,0.79523,0.87917,0.31067,1.19808,0.00011569,0.00011569,0.00011569
96,6586.17,0.47447,0.20817,0.91068,0.998,0.98889,0.99488,0.79574,0.8769,0.31419,1.19413,9.91865e-05,9.91865e-05,9.91865e-05
97,6654.69,0.46883,0.20815,0.9037,0.99758,0.98889,0.99378,0.79567,0.8775,0.31017,1.19668,8.26832e-05,8.26832e-05,8.26832e-05
98,6723.01,0.46824,0.20683,0.90879,0.99615,0.98889,0.99378,0.79718,0.86974,0.3108,1.18971,6.61799e-05,6.61799e-05,6.61799e-05
99,6790.78,0.46252,0.20663,0.90337,0.99725,0.9868,0.99448,0.79725,0.8717,0.3106,1.19197,4.96766e-05,4.96766e-05,4.96766e-05
100,6858.62,0.46207,0.20576,0.90525,0.99399,0.99091,0.99461,0.79654,0.87095,0.30668,1.19057,3.31733e-05,3.31733e-05,3.31733e-05
